=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 3.63        |
| time/                   |             |
|    fps                  | 1564        |
|    iterations           | 38          |
|    time_elapsed         | 198         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.025918197 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.604      |
|    explained_variance   | 0.143       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0349     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0209     |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 731         |
|    ep_rew_mean          | 3.59        |
| time/                   |             |
|    fps                  | 1570        |
|    iterations           | 39          |
|    time_elapsed         | 203         |
|    total_timesteps      | 319488      |
| train/                  |             |
|    approx_kl            | 0.031623125 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.599      |
|    explained_variance   | 0.203       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0625     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0205     |
|    value_loss           | 0.0144      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 684         |
|    ep_rew_mean          | 3.37        |
| time/                   |             |
|    fps                  | 1576        |
|    iterations           | 40          |
|    time_elapsed         | 207         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.032284163 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.583      |
|    explained_variance   | 0.168       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0297     |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 0.0123      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 687        |
|    ep_rew_mean          | 3.3        |
| time/                   |            |
|    fps                  | 1581       |
|    iterations           | 41         |
|    time_elapsed         | 212        |
|    total_timesteps      | 335872     |
| train/                  |            |
|    approx_kl            | 0.03137756 |
|    clip_fraction        | 0.212      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.577     |
|    explained_variance   | 0.164      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00383   |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.02      |
|    value_loss           | 0.0152     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 692         |
|    ep_rew_mean          | 3.32        |
| time/                   |             |
|    fps                  | 1586        |
|    iterations           | 42          |
|    time_elapsed         | 216         |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.029153142 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.579      |
|    explained_variance   | 0.18        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0158     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0232     |
|    value_loss           | 0.0131      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.030775633 |
|    clip_fraction        | 0.206       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.551      |
|    explained_variance   | 0.155       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0281     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0234     |
|    value_loss           | 0.0143      |
| train_eval/             |             |
|    mean_cum_return      | 1.16        |
|    mean_mdd             | -0.506      |
|    mean_sharpe          | 0.0341      |
|    mean_win_rate        | 0.384       |
|    std_cum_return       | 2.5         |
|    std_mdd              | 0.0662      |
|    std_sharpe           | 0.608       |
|    std_win_rate         | 0.0358      |
| val/                    |             |
|    mean_cum_return      | 0.0614      |
|    mean_mdd             | -0.322      |
|    mean_sharpe          | -0.385      |
|    mean_win_rate        | 0.368       |
|    std_cum_return       | 0.562       |
|    std_mdd              | 0.1         |
|    std_sharpe           | 1.95        |
|    std_win_rate         | 0.0727      |
-----------------------------------------
  [eval] step=350,000  val cum_ret=+6.14%  MDD=-32.17%  sharpe=-0.385  win_rate=36.8%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 704      |
|    ep_rew_mean     | 3.35     |
| time/              |          |
|    fps             | 1559     |
|    iterations      | 43       |
|    time_elapsed    | 225      |
|    total_timesteps | 352256   |
---------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 725      |
|    ep_rew_mean          | 3.62     |
| time/                   |          |
|    fps                  | 1564     |
|    iterations           | 44       |
|    time_elapsed         | 230      |
|    total_timesteps      | 360448   |
| train/                  |          |
|    approx_kl            | 0.028471 |
|    clip_fraction        | 0.202    |
|    clip_range           | 0.2      |
|    entropy_loss         | -0.543   |
|    explained_variance   | 0.195    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0415  |
|    n_updates            | 430      |
|    policy_gradient_loss | -0.0196  |
|    value_loss           | 0.0144   |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 724        |
|    ep_rew_mean          | 3.65       |
| time/                   |            |
|    fps                  | 1569       |
|    iterations           | 45         |
|    time_elapsed         | 234        |
|    total_timesteps      | 368640     |
| train/                  |            |
|    approx_kl            | 0.03166049 |
|    clip_fraction        | 0.21       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.538     |
|    explained_variance   | 0.13       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0384    |
|    n_updates            | 440        |
